t [s];Velocidad [km/h];;;;;
271;2,72115744;;;;;
272;2,056170964;;;;;
273;1,35272605;;;;;
274;0;;;;;
275;0;;;;;
276;0;;;;;
277;0;;;;;
278;0;;;;;
279;0;;;;;
280;0;;;;;
281;0;;;;;
282;0;;;;;
283;0;;;;;
284;0;;;;;
285;0;;;;;
286;0;;;;;
287;0;;;;;
288;0;;;;;
289;0;;;;;
290;3,764564007;;;;;
291;5,034159555;;;;;
292;5,549673807;;;;;
293;5,285897116;;;;;
294;4,48885748;;;;;
295;3,685882948;;;;;
296;3,280048575;;;;;
297;3,42663181;;;;;
298;4,251015011;;;;;
299;5,639479845;;;;;
300;7,122983977;;;;;
301;8,286540732;;;;;
302;8,805754765;;;;;
303;8,668012144;;;;;
304;7,677828302;;;;;
305;6,312922247;;;;;
306;5,307104065;;;;;
307;4,862708045;;;;;
308;4,663273402;;;;;
309;4,485497048;;;;;
310;4,187458931;;;;;
311;3,835112835;;;;;
312;0;;;;;
313;3,712668578;;;;;
314;5,243005566;;;;;
315;7,949808062;;;;;
316;11,53616192;;;;;
317;15,56101535;;;;;
318;19,57477214;;;;;
319;23,24494856;;;;;
320;26,10202193;;;;;
321;28,06822331;;;;;
322;29,11292899;;;;;
323;29,61356451;;;;;
324;29,86560971;;;;;
325;29,92267431;;;;;
326;30,03738843;;;;;
327;30,29192039;;;;;
328;30,46182493;;;;;
329;30,45909192;;;;;
330;30,24015787;;;;;
331;29,96055186;;;;;
332;29,61567077;;;;;
333;29,1564871;;;;;
334;28,82064834;;;;;
335;28,59462506;;;;;
336;28,50555709;;;;;
337;28,69107033;;;;;
338;29,03467499;;;;;
339;29,3256367;;;;;
340;29,48221825;;;;;
341;29,45773992;;;;;
342;29,32387519;;;;;
343;29,15031877;;;;;
344;28,98583842;;;;;
345;29,11028167;;;;;
346;29,19409816;;;;;
347;28,92965762;;;;;
348;28,22323157;;;;;
349;26,74402429;;;;;
350;24,31691078;;;;;
351;21,03712869;;;;;
352;17,03948524;;;;;
353;13,01602901;;;;;
354;9,046442233;;;;;
355;5,665683252;;;;;
356;3,218026649;;;;;
357;1,570167651;;;;;
358;0,592224658;;;;;
359;0;;;;;
360;0;;;;;
361;0;;;;;
362;0;;;;;
363;0;;;;;
364;0;;;;;
365;0;;;;;
366;0;;;;;
367;0;;;;;
368;0;;;;;
369;0;;;;;
370;0;;;;;
371;0;;;;;
372;0;;;;;
373;0;;;;;
374;0;;;;;
375;0;;;;;
376;0;;;;;
377;0;;;;;
378;0;;;;;
379;0;;;;;
380;0;;;;;
381;0;;;;;
382;0;;;;;
383;0;;;;;
384;0;;;;;
385;0;;;;;
386;0;;;;;
387;0;;;;;
388;0;;;;;
389;0;;;;;
390;0;;;;;
391;0;;;;;
392;0;;;;;
393;0;;;;;
394;0;;;;;
395;0;;;;;
396;0;;;;;
397;0;;;;;
398;0;;;;;
399;6,494936144;;;;;
400;9,602887502;;;;;
401;11,97560654;;;;;
402;13,49848602;;;;;
403;14,42108774;;;;;
404;15,19364412;;;;;
405;16,24039346;;;;;
406;18,06875156;;;;;
407;20,903758;;;;;
408;24,49916154;;;;;
409;28,33420017;;;;;
410;31,81645687;;;;;
411;34,23184712;;;;;
412;35,00031526;;;;;
413;33,86649094;;;;;
414;30,98155365;;;;;
415;26,881701;;;;;
416;22,41719548;;;;;
417;18,26865077;;;;;
418;14,6784929;;;;;
419;11,67633092;;;;;
420;9,212735301;;;;;
421;7,490061191;;;;;
422;6,298901805;;;;;
423;5,43878617;;;;;
424;4,754502817;;;;;
425;4,038945387;;;;;
426;3,220281329;;;;;
427;2,550074616;;;;;
428;0;;;;;
429;4,410605498;;;;;
430;7,939314286;;;;;
431;12,81814154;;;;;
432;18,19762186;;;;;
433;22,99533027;;;;;
434;26,47778458;;;;;
435;28,37955237;;;;;
436;28,9255778;;;;;
437;28,68936637;;;;;
438;27,8954594;;;;;
439;26,66150845;;;;;
440;25,06777359;;;;;
441;23,22814498;;;;;
442;21,58032248;;;;;
443;20,62185468;;;;;
444;20,57293189;;;;;
445;21,41527293;;;;;
446;22,67472066;;;;;
447;23,60112154;;;;;
448;23,57755163;;;;;
449;22,33460003;;;;;
450;20,10103491;;;;;
451;17,33892292;;;;;
452;14,45842159;;;;;
453;11,9333692;;;;;
454;9,882350278;;;;;
455;8,170485478;;;;;
456;6,603361376;;;;;
457;5,060397301;;;;;
458;3,556346635;;;;;
459;2,168380233;;;;;
460;0;;;;;
461;0;;;;;
462;0;;;;;
463;0;;;;;
464;0;;;;;
465;0;;;;;
466;0;;;;;
467;0;;;;;
468;0;;;;;
469;0;;;;;
470;0;;;;;
471;0;;;;;
472;0;;;;;
473;0;;;;;
474;0;;;;;
475;0;;;;;
476;0;;;;;
477;0;;;;;
478;0;;;;;
479;0;;;;;
480;0;;;;;
481;0;;;;;
482;4,357950548;;;;;
483;7,303677787;;;;;
484;10,83802847;;;;;
485;14,90975517;;;;;
486;19,42528433;;;;;
487;23,65248797;;;;;
488;27,28167947;;;;;
489;30,07273874;;;;;
490;31,77556303;;;;;
491;32,27503377;;;;;
492;31,7006196;;;;;
493;30,42963009;;;;;
494;28,64345913;;;;;
495;26,31050943;;;;;
496;23,76079184;;;;;
497;21,02296124;;;;;
498;18,11170032;;;;;
499;15,3774169;;;;;
500;13,06738931;;;;;
501;11,57860894;;;;;
502;10,94002982;;;;;
503;11,08003184;;;;;
